,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,0,6,4,0,0,0,842,0,1,0,0,2,846,147,46,4,0,0,0,0,0,587,923,0,742,48,0,0,1,0,57,4
1,0,0,1039,23,778,0,656,2,12,0,0,0,24,0,3,20,3,356,1,0,0,0,1,2,0,0,1,519,9,3,11,4,2
2,6,1039,0,14,784,0,572,2,0,0,0,620,0,3,47,0,2,637,0,2,0,0,11,0,0,32,8,595,3,1,0,68,0
3,4,23,14,0,1,4,0,3,356,17,4,33,279,0,0,87,529,0,1,314,0,17,2,6,5,18,8,22,195,0,179,187,0
4,0,778,784,1,0,0,698,0,0,0,0,753,3,0,2,20,0,379,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
5,0,0,0,4,0,0,0,0,0,215,267,0,0,0,0,0,0,0,295,0,584,680,0,0,504,0,0,0,0,0,0,0,0
6,0,656,572,0,698,0,0,2,0,0,0,364,19,0,0,17,0,3,0,0,0,0,0,1,0,0,7,261,0,0,1,0,8
7,842,2,2,3,0,0,2,0,0,1,0,0,5,558,55,34,10,0,0,0,0,0,0,590,0,17,625,0,0,0,4,20,9
8,0,12,0,356,0,0,0,0,0,0,0,9,332,0,1,495,424,0,0,648,0,0,5,0,0,6,0,0,1,250,379,220,76
9,1,0,0,17,0,215,0,1,0,0,2,0,18,3,0,2,8,0,127,0,173,4,0,4,154,8,0,0,0,0,1,0,2
10,0,0,0,4,0,267,0,0,0,2,0,0,2,1,0,2,2,0,240,0,208,4,1,0,247,0,0,0,0,0,0,0,1
11,0,0,620,33,753,0,364,0,9,0,0,0,98,0,10,28,3,493,0,0,0,0,0,5,0,0,4,157,4,2,0,1,0
12,2,24,0,279,3,0,19,5,332,18,2,98,0,0,28,487,17,6,0,288,0,0,6,41,0,61,48,2,188,135,70,0,122
13,846,0,3,0,0,0,0,558,0,3,1,0,0,0,471,10,0,0,0,0,0,3,483,700,0,1,6,0,0,5,0,35,0
14,147,3,47,0,2,0,0,55,1,0,0,10,28,471,0,0,0,0,0,9,0,15,274,356,0,291,221,1,12,54,0,52,0
15,46,20,0,87,20,0,17,34,495,2,2,28,487,10,0,0,508,11,0,523,0,0,16,30,0,0,0,1,268,157,244,3,138
16,4,3,2,529,0,0,0,10,424,8,2,3,17,0,0,508,0,0,0,409,0,0,2,1,0,0,0,0,188,1,319,190,0
17,0,356,637,0,379,0,3,0,0,0,0,493,6,0,0,11,0,0,0,0,0,1,0,1,0,1,0,222,0,0,0,0,0
18,0,1,0,1,0,295,0,0,0,127,240,0,0,0,0,0,0,0,0,0,207,154,0,0,1,0,0,0,0,1,7,0,0
19,0,0,2,314,0,0,0,0,648,0,0,0,288,0,9,523,409,0,0,0,0,2,1,0,0,3,1,5,341,261,0,308,250
20,0,0,0,0,0,584,0,0,0,173,208,0,0,0,0,0,0,0,207,0,0,429,0,0,506,0,0,0,0,0,0,0,0
21,0,0,0,17,0,680,0,0,0,4,4,0,0,3,15,0,0,1,154,2,429,0,0,0,422,16,1,0,0,0,0,0,0
22,587,1,11,2,0,0,0,0,5,0,1,0,6,483,274,16,2,0,0,1,0,0,0,493,0,199,0,0,0,0,0,17,0
23,923,2,0,6,0,0,1,590,0,4,0,5,41,700,356,30,1,1,0,0,0,0,493,0,0,195,204,0,0,0,0,0,1
24,0,0,0,5,0,504,0,0,0,154,247,0,0,0,0,0,0,0,1,0,506,422,0,0,0,0,0,0,0,0,0,0,0
25,742,0,32,18,2,0,0,17,6,8,0,0,61,1,291,0,0,1,0,3,0,16,199,195,0,0,174,0,9,0,0,40,3
26,48,1,8,8,0,0,7,625,0,0,0,4,48,6,221,0,0,0,0,1,0,1,0,204,0,174,0,0,0,0,0,24,12
27,0,519,595,22,0,0,261,0,0,0,0,157,2,0,1,1,0,222,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0,9,3,195,2,0,0,0,1,0,0,4,188,0,12,268,188,0,0,341,0,0,0,0,0,9,0,0,0,162,208,222,161
29,1,3,1,0,0,0,0,0,250,0,0,2,135,5,54,157,1,0,1,261,0,0,0,0,0,0,0,0,162,0,117,175,0
30,0,11,0,179,0,0,1,4,379,1,0,0,70,0,0,244,319,0,7,0,0,0,0,0,0,0,0,0,208,117,0,203,111
31,57,4,68,187,0,0,0,20,220,0,0,1,0,35,52,3,190,0,0,308,0,0,17,0,0,40,24,1,222,175,203,0,49
32,4,2,0,0,0,0,8,9,76,2,1,0,122,0,0,138,0,0,0,250,0,0,0,1,0,3,12,0,161,0,111,49,0
