,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,1595,1286,0,5,0,0,0,2,575,0,0,0,15,0,223,0,248,0,0,0,0
1,0,0,426,0,0,1,320,0,602,274,593,286,0,0,0,269,0,0,0,0,3,0,174,79,31
2,0,426,0,0,0,0,898,0,665,545,402,198,0,0,0,264,0,0,0,0,0,0,42,122,69
3,0,0,0,0,3,0,0,249,0,1,0,0,0,188,320,0,619,265,0,131,0,149,0,0,0
4,1595,0,0,3,0,779,0,0,0,3,0,1,53,1,0,0,15,0,50,0,120,0,0,0,0
5,1286,1,0,0,779,0,0,0,0,4,0,2,756,0,0,0,35,0,235,0,79,0,0,0,0
6,0,320,898,0,0,0,0,0,573,462,688,153,0,0,0,86,0,0,0,0,0,0,123,120,86
7,5,0,0,249,0,0,0,0,0,3,0,1,0,421,265,0,25,43,6,152,1,285,0,0,0
8,0,602,665,0,0,0,573,0,0,134,489,68,0,0,0,318,0,0,0,0,1,0,90,110,180
9,0,274,545,1,3,4,462,3,134,0,180,266,13,18,1,101,3,2,0,0,3,5,12,21,215
10,0,593,402,0,0,0,688,0,489,180,0,73,0,0,0,55,0,0,0,0,3,0,312,108,46
11,2,286,198,0,1,2,153,1,68,266,73,0,1,0,0,380,0,0,7,0,3,0,150,87,7
12,575,0,0,0,53,756,0,0,0,13,0,1,0,0,0,0,13,0,84,0,14,1,0,0,0
13,0,0,0,188,1,0,0,421,0,18,0,0,0,0,283,0,252,472,0,86,0,81,0,0,0
14,0,0,0,320,0,0,0,265,0,1,0,0,0,283,0,0,38,155,0,62,0,35,0,0,0
15,0,269,264,0,0,0,86,0,318,101,55,380,0,0,0,0,0,0,0,0,0,0,18,153,26
16,15,0,0,619,15,35,0,25,0,3,0,0,13,252,38,0,0,390,4,115,0,261,0,0,0
17,0,0,0,265,0,0,0,43,0,2,0,0,0,472,155,0,390,0,0,20,0,173,0,0,0
18,223,0,0,0,50,235,0,6,0,0,0,7,84,0,0,0,4,0,0,0,387,0,10,0,0
19,0,0,0,131,0,0,0,152,0,0,0,0,0,86,62,0,115,20,0,0,0,219,0,0,0
20,248,3,0,0,120,79,0,1,1,3,3,3,14,0,0,0,0,0,387,0,0,0,9,0,0
21,0,0,0,149,0,0,0,285,0,5,0,0,1,81,35,0,261,173,0,219,0,0,0,0,0
22,0,174,42,0,0,0,123,0,90,12,312,150,0,0,0,18,0,0,10,0,9,0,0,10,14
23,0,79,122,0,0,0,120,0,110,21,108,87,0,0,0,153,0,0,0,0,0,0,10,0,3
24,0,31,69,0,0,0,86,0,180,215,46,7,0,0,0,26,0,0,0,0,0,0,14,3,0
