,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,14,13,55,306,27,73,4,5,86,0,4,64,12,5,0,582,14,56,6160,6,43,46,0,426,1744,4,3,2,0,0
1,14,0,0,3,5,4,69,1,4,43,72,35,1,4,8,0,17,8,0,2,24,0,0,1163,6,1,5,1,0,1,206
2,13,0,0,167,7,6660,41,6,2,0,18,0,4,4095,11,0,3596,20,7,0,3,0,1088,0,1,5,0,72,0,0,0
3,55,3,167,0,6,239,3,2,4,0,1,0,6,74,6,3,187,0,16,10,10,22,152,1,35,13,1,66,0,0,0
4,306,5,7,6,0,3,7,4,5,565,0,261,3,1,1,0,10,0,0,77,2,1074,0,0,22,11,704,0,0,0,0
5,27,4,6660,239,3,0,40,0,1,1,2,0,11,2735,0,1,3349,15,8,26,0,0,89,0,16,0,0,307,2,0,0
6,73,69,41,3,7,40,0,0,0,8,6222,2,3,15,145,3,64,99,12,13,1,0,1,0,15,3,2,9,0,228,0
7,4,1,6,2,4,0,0,0,3390,0,18,0,1,26,67,1600,0,849,23,0,3,4,32,1,2,5,0,4,2,0,0
8,5,4,2,4,5,1,0,3390,0,0,26,0,4,6,13,1935,0,1110,73,0,1,3,12,0,3,4,0,7,0,4,0
9,86,43,0,0,565,1,8,0,0,0,0,3711,9,0,1,0,9,2,0,29,31,7,1,2,20,7,281,0,0,0,1
10,0,72,18,1,0,2,6222,18,26,0,0,1,0,5,1736,6,1,65,6,0,0,0,0,14,0,0,0,0,1,475,2
11,4,35,0,0,261,0,2,0,0,3711,1,0,3,0,2,0,3,0,0,1,16,849,1,13,1,4,441,0,0,0,0
12,64,1,4,6,3,11,3,1,4,9,0,3,0,4,0,0,13,4,43,38,3,0,3,0,7,76,0,0,248,0,0
13,12,4,4095,74,1,2735,15,26,6,0,5,0,4,0,10,1,1821,3,5,0,1,0,1620,7,7,5,1,820,0,0,0
14,5,8,11,6,1,0,145,67,13,1,1736,2,0,10,0,2,0,3,7,0,5,19,52,178,5,9,6,31,0,1149,3
15,0,0,0,3,0,1,3,1600,1935,0,6,0,0,1,2,0,0,415,6,0,0,0,0,0,1,0,0,4,0,3,0
16,582,17,3596,187,10,3349,64,0,0,9,1,3,13,1821,0,0,0,16,5,178,9,1,39,0,30,30,4,54,4,0,0
17,14,8,20,0,0,15,99,849,1110,2,65,0,4,3,3,415,16,0,41,6,1,0,1,0,0,8,0,0,0,0,0
18,56,0,7,16,0,8,12,23,73,0,6,0,43,5,7,6,5,41,0,9,2,4,9,0,6,4,0,2,5,0,0
19,6160,2,0,10,77,26,13,0,0,29,0,1,38,0,0,0,178,6,9,0,8,0,1,0,165,292,0,1,1,0,0
20,6,24,3,10,2,0,1,3,1,31,0,16,3,1,5,0,9,1,2,8,0,27,7,1,17,26,12,3,0,0,0
21,43,0,0,22,1074,0,0,4,3,7,0,849,0,0,19,0,1,0,4,0,27,0,22,23,130,81,860,4,1,1,1
22,46,0,1088,152,0,89,1,32,12,1,0,1,3,1620,52,0,39,1,9,1,7,22,0,5,63,38,1,1643,0,0,0
23,0,1163,0,1,0,0,0,1,0,2,14,13,0,7,178,0,0,0,0,0,1,23,5,0,1,0,11,3,0,4,695
24,426,6,1,35,22,16,15,2,3,20,0,1,7,7,5,1,30,0,6,165,17,130,63,1,0,834,86,43,36,1,0
25,1744,1,5,13,11,0,3,5,4,7,0,4,76,5,9,0,30,8,4,292,26,81,38,0,834,0,0,1,5,0,0
26,4,5,0,1,704,0,2,0,0,281,0,441,0,1,6,0,4,0,0,0,12,860,1,11,86,0,0,10,0,0,6
27,3,1,72,66,0,307,9,4,7,0,0,0,0,820,31,4,54,0,2,1,3,4,1643,3,43,1,10,0,1,0,6
28,2,0,0,0,0,2,0,2,0,0,1,0,248,0,0,0,4,0,5,1,0,1,0,0,36,5,0,1,0,1,0
29,0,1,0,0,0,0,228,0,4,0,475,0,0,0,1149,3,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0
30,0,206,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,695,0,0,6,6,0,0,0
